
＊初期化
＄辞書フォルダ	.,_Common,00_Fuka,02_Minimu,03_Yuna,04_Makana,05_Firio,06_Chinayo,07_Rereni,08_Minako,09_Suria
＄ズボン下ろし済み	０
＄フーカ短小見た	０
＄フーカ巨根見た	０
＄ズボン脱がし反応を挟む	０
＄抜いた即時送信	０
＄抜いたキャラ送信	０
＄フーカ体位	０
＄行動	
＄行動繰り返し機能フラグ	１
＄行動繰り返しキー	space
＄行動繰り返しキーコンフィグ	０
＄行動内容の表示	２
＄コス変更時トークフラグ	１
＄MEHチャプター観覧中	０
＄表示中ミニイベント	０
＄イケオス妊活テクニック済	０
＄スーリア起動回数	０
＄スーリアユーザ名	あなた
＄スーリア登場フラグ	０
＄スーリア使用済ゴム１状態	０
＄スーリア使用済ゴム２状態	０
＄スーリア使用済ゴム３状態	０
＄スーリア使用済ゴム４状態	０
＄スーリア使用済ゴム５状態	０
＄スーリア使用済ゴム６状態	０
＄スーリア生えっち解放フラグ	０
＄スーリア子宮精液量	０
＄スーリア交流度	０
＄スーリア交流ポイント	０
＄スーリア弟バレ認知フラグ	０
＄スーリア現在のコス	私服
＄スーリア髪型コス	ウェーブセミロング
＄射精擬音表示フラグ	０
＄射精擬音感嘆符	０
＄膣内射精擬音表示位置	０
＄スキンシップゲージ増加フラグ	０
＄暴発許可フラグ	０
＄挿入時暴発許可フラグ	０
＄コス状態維持フラグ	０
＄妊娠確立100フラグ	０

＃里々でははじめからいくつかのスクリプトの追加作業を自動で行ってくれています。
＃
＃＄会話時サーフェス戻し	有効
＃は、会話を始めるときに、デフォルトサーフェス（初期設定なら０）を表示するという設定です。
＃＄スコープ切り換え時	\n[half]
＃は、相方⇒メイン　メイン⇒相方　としゃべるキャラクタが変わるときに、半行改行するという設定です。

＃　SAORIを使わない場合、ここから下を消去してしまって構いません。
＃　SAORIフォルダも不要です。



＃
＃　各栞共通プラグイン規格『SAORI』用の定義。
＃　使うdllは予めここで列挙してください。
＃
＃　カンマ区切りで、左から順に
＃　　・辞書からの呼び出すときの名前。dll名そのままでも構いません。
＃　　・プラグインdllの相対パス。
＃　　・自動設定される引数。これは省略可。
＃


＠SAORI
fill_desktop,saori/fill_desktop.dll,
fill_red,saori/fill_desktop.dll,255,0,0
calc,saori/ssu.dll,calc
calc_float,saori/ssu.dll,calc_float
if,saori/ssu.dll,if
unless,saori/ssu.dll,unless
nswitch,saori/ssu.dll,nswitch
switch,saori/ssu.dll,switch
substr,saori/ssu.dll,substr
split,saori/ssu.dll,split
replace,saori/ssu.dll,replace
replace_first,saori/ssu.dll,replace_first
erase,saori/ssu.dll,erase
erase_first,saori/ssu.dll,erase_first
count,saori/ssu.dll,count
compare,saori/ssu.dll,compare
compare_head,saori/ssu.dll,compare_head
compare_tail,saori/ssu.dll,compare_tail
length,saori/ssu.dll,length
zen2han,saori/ssu.dll,zen2han
han2zen,saori/ssu.dll,han2zen
hira2kata,saori/ssu.dll,hira2kata
kata2hira,saori/ssu.dll,kata2hira
sprintf,saori/ssu.dll,sprintf
iflist,saori/ssu.dll,iflist
is_empty,saori/ssu.dll,is_empty
is_digit,saori/ssu.dll,is_digit
is_alpha,saori/ssu.dll,is_alpha
choice,saori/ssu.dll,choice
join,saori/ssu.dll,join
reverse,saori/ssu.dll,reverse
at,saori/ssu.dll,at
lsimg,saori/ssu.dll,lsimg
mkdir,saori/ssu.dll,mkdir
